"substrate","od_wave","set","plate","well","tp","sheet","od","sample","evolved","population","blank","sd_blank","od_cor","time"
"2-hydroxy benzoic acid",590,"set_3",16,"C_11","T4","Sheet1",0.04,"48","without_community","wt-6",0.039,0.000516397779494323,0.001,4
"2-hydroxy benzoic acid",590,"set_3",11,"C_11","T4","Sheet1",0.041,"33","without_community","wt-3",0.039,0.000516397779494323,0.002,4
"2-hydroxy benzoic acid",590,"set_2",7,"C_7","T4","Sheet1",0.044,"20","with_community","wt-b5",0.039,0.000516397779494323,0.005,4
"2-hydroxy benzoic acid",590,"set_2",13,"C_7","T5","Sheet1",0.044,"38","without_community","wt-4",0.039,0.000516397779494323,0.005,5
"2-hydroxy benzoic acid",590,"set_1",3,"C_3","T4","Sheet1",0.043,"7","with_community","wt-b2",0.039,0.000516397779494323,0.004,4
"2-hydroxy benzoic acid",590,"set_2",11,"C_7","T4","Sheet1",0.045,"32","without_community","wt-2",0.039,0.000516397779494323,0.006,4
"2-hydroxy benzoic acid",590,"set_2",15,"C_7","T6","Sheet1",0.044,"44","without_community","wt-5",0.039,0.000516397779494323,0.005,6
"2-hydroxy benzoic acid",590,"set_3",18,"C_11","T5","Sheet1",0.041,"anc1","ancestor","ancestor",0.039,0.000516397779494323,0.002,5
"2-hydroxy benzoic acid",590,"set_3",4,"C_11","T5","Sheet1",0.042,"12","with_community","wt-b3",0.039,0.000516397779494323,0.003,5
"2-hydroxy benzoic acid",590,"set_3",3,"C_11","T5","Sheet1",0.042,"9","with_community","wt-b3",0.039,0.000516397779494323,0.003,5
"2-hydroxy benzoic acid",590,"set_2",1,"C_7","T4","Sheet1",0.044,"2","with_community","wt-b1",0.039,0.000516397779494323,0.005,4
"2-hydroxy benzoic acid",590,"set_2",10,"C_7","T4","Sheet1",0.041,"29","without_community","wt-2",0.039,0.000516397779494323,0.002,4
"2-hydroxy benzoic acid",590,"set_2",9,"C_7","T6","Sheet1",0.046,"26","without_community","wt-1",0.039,0.000516397779494323,0.007,6
"2-hydroxy benzoic acid",590,"set_3",5,"C_11","T5","Sheet1",0.039,"15","with_community","wt-b4",0.039,0.000516397779494323,0,5
"2-hydroxy benzoic acid",590,"set_3",16,"C_11","T5","Sheet1",0.039,"48","without_community","wt-6",0.039,0.000516397779494323,0,5
"2-hydroxy benzoic acid",590,"set_3",6,"C_11","T4","Sheet1",0.04,"18","with_community","wt-b5",0.039,0.000516397779494323,0.001,4
"2-hydroxy benzoic acid",590,"set_2",4,"C_7","T5","Sheet1",0.051,"11","with_community","wt-b3",0.039,0.000516397779494323,0.012,5
